Agglomération;Type d'habitat;Envergure;Année;Montants moyens des loyers (MAD);Indices des montants moyens des loyers
Boujdour;Maison sur lot économique;MLE;2004;774;115
Boujdour;Maison sur lot économique;MLE;2005;800;119
Boujdour;Maison sur lot économique;MLE;2006;825;122
Boujdour;Maison sur lot économique;MLE;2007;858;127
Boujdour;Maison sur lot économique;MLE;2008;895;133
Boujdour;Maison sur lot économique;MLE;2009;946;141
Boujdour;Maison sur lot économique;MLE;2010;996;149
Boujdour;Maison sur lot économique;MLE;2011;1051;158
Boujdour;Maison sur lot économique;MLE;2012;1108;167
Boujdour;Maison sur lot économique;MLE;2013;1141;172
Boujdour;Maison sur lot économique;MLE;2014;1176;177
Boujdour;Maison sur lot économique;MLE;2015;1273;181
Boujdour;Maison sur lot économique;MLE;2016;1295;184
Boujdour;Maison sur lot économique;MLE;2017;1318;187
Boujdour;Maison sur lot économique;MLE;2018;1334;190
Boujdour;Maison sur lot économique;MLE;2019;1391;198
Boujdour;Maison sur lot économique;MLE;2020;1381;197
Boujdour;Maison sur lot économique;MLE;2021;1401;200
Boujdour;Maison sur lot économique;MLE;2022;1449;207
Boujdour;Maison sur lot économique;MT;2001;715;100
Boujdour;Maison sur lot économique;MT;2002;780;109
Boujdour;Maison sur lot économique;MT;2003;843;118
Boujdour;Maison sur lot économique;MT;2004;885;124
Boujdour;Maison sur lot économique;MT;2005;928;130
Boujdour;Maison sur lot économique;MT;2006;970;136
Boujdour;Maison sur lot économique;MT;2007;1015;142
Boujdour;Maison sur lot économique;MT;2008;1042;146
Boujdour;Maison sur lot économique;MT;2009;1084;152
Boujdour;Maison sur lot économique;MT;2010;1126;157
Boujdour;Maison sur lot économique;MT;2011;1170;164
Boujdour;Maison sur lot économique;MT;2012;1221;171
Boujdour;Maison sur lot économique;MT;2013;1262;177
Boujdour;Maison sur lot économique;MT;2014;1304;182
Boujdour;Maison sur lot économique;MT;2015;1334;187
Boujdour;Maison sur lot économique;MT;2016;1358;190
Boujdour;Maison sur lot économique;MT;2017;1382;193
Boujdour;Maison sur lot économique;MT;2018;1400;196
Boujdour;Maison sur lot économique;MT;2019;1455;204
Boujdour;Maison sur lot économique;MT;2020;1436;201
Boujdour;Maison sur lot économique;MT;2021;1449;203
Boujdour;Maison sur lot économique;MT;2022;1496;209
Boujdour;Maison sur lot économique;PT;2001;546;100
Boujdour;Maison sur lot économique;PT;2002;575;105
